"student_id","present_rate"
S05912,0.06
S09329,0.06
S02113,0.07
S08730,0.07
S10549,0.07
S02262,0.08
S01106,0.09
S09185,0.09
S01141,0.10
S06610,0.10
S00725,0.10
S09109,0.10
S11961,0.10
S05519,0.11
S08602,0.11
S11317,0.11
S10384,0.11
S02039,0.12
S07551,0.12
S06342,0.12
S01070,0.12
S01565,0.12
S00962,0.12
S08014,0.12
S04847,0.13
S02438,0.13
S08656,0.13
S03541,0.13
S04480,0.13
S04835,0.13
S09622,0.13
S05144,0.13
S01013,0.13
S04560,0.13
S10699,0.13
S04547,0.13
S03824,0.13
S10181,0.13
S08082,0.13
S04607,0.13
S06316,0.13
S09442,0.14
S00598,0.14
S08062,0.14
S08981,0.14
S05287,0.14
S09441,0.14
S04520,0.14
S04104,0.14
S10810,0.14
S07007,0.14
S08133,0.14
S08489,0.14
S02050,0.14
S05066,0.14
S06221,0.14
S07650,0.14
S03538,0.14
S08785,0.15
S01973,0.15
S06121,0.15
S11901,0.15
S10632,0.15
S01744,0.15
S04160,0.15
S08966,0.15
S11244,0.15
S04872,0.15
S06367,0.15
S00184,0.15
S04278,0.15
S06704,0.15
S00723,0.15
S09528,0.15
S05825,0.15
S08439,0.15
S08369,0.15
S09101,0.15
S06833,0.15
S08890,0.15
S01479,0.15
S04786,0.15
S03666,0.15
S06176,0.15
S09566,0.15
S00162,0.15
S03380,0.15
S10441,0.16
S08090,0.16
S06447,0.16
S02868,0.16
S04898,0.16
S05618,0.16
S01997,0.16
S07739,0.16
S06631,0.16
S00458,0.16
S03141,0.16
S04584,0.16
S03246,0.16
S01210,0.16
S07627,0.16
S03259,0.16
S08525,0.16
S01986,0.16
S05766,0.16
S05061,0.16
S11896,0.16
S07410,0.16
S06606,0.17
S06003,0.17
S10159,0.17
S10176,0.17
S07427,0.17
S04571,0.17
S11248,0.17
S01708,0.17
S01428,0.17
S06663,0.17
S02734,0.17
S08756,0.17
S03584,0.17
S08243,0.17
S11597,0.17
S05897,0.17
S03483,0.17
S08665,0.17
S02260,0.17
S08922,0.17
S04472,0.17
S03230,0.17
S04990,0.17
S03921,0.17
S05964,0.17
S06014,0.17
S08194,0.17
S01619,0.17
S11850,0.17
S00434,0.17
S09710,0.17
S10435,0.17
S04248,0.17
S06019,0.17
S08460,0.17
S07380,0.17
S04757,0.17
S04304,0.17
S07963,0.17
S04924,0.17
S04339,0.17
S12009,0.18
S03770,0.18
S10635,0.18
S01892,0.18
S03890,0.18
S08343,0.18
S09020,0.18
S06049,0.18
S09926,0.18
S05470,0.18
S02284,0.18
S07340,0.18
S06276,0.18
S07613,0.18
S04258,0.18
S03657,0.18
S00293,0.18
S05542,0.18
S00100,0.18
S06020,0.18
S12078,0.18
S04582,0.18
S07328,0.18
S11247,0.18
S06440,0.18
S08822,0.18
S01591,0.18
S09044,0.18
S11272,0.18
S11761,0.18
S05993,0.18
S00660,0.18
S09494,0.19
S11290,0.19
S07677,0.19
S01803,0.19
S09698,0.19
S07422,0.19
S11969,0.19
S11964,0.19
S06274,0.19
S11771,0.19
S05960,0.19
S07922,0.19
S09131,0.19
S10539,0.19
S00206,0.19
S09228,0.19
S05270,0.19
S12123,0.19
S10585,0.19
S00018,0.19
S01736,0.19
S01743,0.19
S09901,0.19
S04279,0.19
S04097,0.19
S09265,0.19
S07147,0.19
S05138,0.19
S06647,0.19
S00229,0.19
S01528,0.19
S01091,0.19
S05103,0.19
S06922,0.19
S02295,0.19
S05159,0.19
S07742,0.19
S05902,0.19
S07515,0.19
S04010,0.19
S10288,0.19
S01009,0.19
S04378,0.19
S03905,0.19
S03862,0.19
S11118,0.19
S08296,0.19
S02225,0.19
S09655,0.19
S07915,0.19
S12091,0.19
S02536,0.19
S09640,0.19
S02179,0.19
S10535,0.19
S05312,0.19
S03563,0.19
S06617,0.19
S03851,0.19
S00094,0.19
S04521,0.19
S07656,0.19
S08998,0.19
S02170,0.19
S08218,0.19
S08970,0.19
S01821,0.19
S02593,0.19
S04774,0.19
S00117,0.19
S07044,0.19
S04981,0.19
S08640,0.19
S06605,0.19
S03954,0.19
S04668,0.19
S05268,0.20
S04688,0.20
S07542,0.20
S10255,0.20
S03695,0.20
S02069,0.20
S07854,0.20
S01495,0.20
S00002,0.20
S12020,0.20
S06500,0.20
S11087,0.20
S01833,0.20
S01752,0.20
S10929,0.20
S08015,0.20
S09321,0.20
S00924,0.20
S02136,0.20
S02303,0.20
S06035,0.20
S05717,0.20
S09840,0.20
S06308,0.20
S11581,0.20
S04227,0.20
S05870,0.20
S06142,0.20
S00940,0.20
S09554,0.20
S01051,0.20
S08196,0.20
S06399,0.20
S01717,0.20
S00290,0.20
S05261,0.20
S08244,0.20
S02415,0.20
S01034,0.20
S00526,0.20
S07394,0.20
S09512,0.20
S10999,0.20
S02471,0.20
S11746,0.20
S01263,0.20
S00703,0.20
S08866,0.20
S10115,0.20
S11635,0.20
S09102,0.20
S09411,0.20
S11144,0.20
S00304,0.20
S10703,0.20
S11993,0.20
S08116,0.20
S08811,0.20
S00882,0.20
S01940,0.20
S02884,0.21
S04341,0.21
S09459,0.21
S07871,0.21
S08485,0.21
S10758,0.21
S09004,0.21
S06509,0.21
S10348,0.21
S03156,0.21
S09500,0.21
S03840,0.21
S01908,0.21
S08420,0.21
S05688,0.21
S07807,0.21
S02873,0.21
S05773,0.21
S02306,0.21
S03430,0.21
S06866,0.21
S05111,0.21
S07956,0.21
S09460,0.21
S04546,0.21
S06864,0.21
S08710,0.21
S09877,0.21
S04940,0.21
S06227,0.21
S03682,0.21
S07031,0.21
S11664,0.21
S09905,0.21
S00330,0.21
S02671,0.21
S02567,0.21
S00418,0.21
S09814,0.21
S09052,0.21
S00926,0.21
S04932,0.21
S07451,0.21
S11774,0.21
S02809,0.21
S02626,0.21
S03598,0.21
S11148,0.21
S08552,0.21
S03107,0.21
S05182,0.21
S05257,0.21
S08280,0.21
S05296,0.21
S11403,0.21
S01712,0.21
S08240,0.21
S09019,0.21
S05736,0.21
S04285,0.21
S06191,0.21
S11943,0.21
S03277,0.21
S01746,0.21
S02960,0.21
S06288,0.21
S06613,0.21
S07062,0.21
S11275,0.21
S05929,0.21
S05903,0.21
S10965,0.21
S12140,0.21
S00275,0.21
S07570,0.21
S07467,0.21
S11328,0.21
S10570,0.21
S06783,0.21
S06701,0.21
S02486,0.21
S07054,0.21
S09881,0.21
S07969,0.21
S12128,0.21
S04066,0.21
S05813,0.21
S04283,0.21
S07455,0.21
S09140,0.21
S07549,0.21
S11824,0.21
S01326,0.21
S00945,0.21
S12014,0.21
S05723,0.21
S00576,0.21
S00965,0.21
S11291,0.21
S05406,0.21
S01395,0.21
S05149,0.21
S08235,0.21
S02459,0.21
S03347,0.21
S02100,0.21
S10972,0.21
S11467,0.21
S05243,0.21
S05928,0.21
S08908,0.21
S11058,0.21
S06598,0.21
S09602,0.21
S05952,0.21
S10143,0.21
S01211,0.22
S11242,0.22
S11022,0.22
S07203,0.22
S01405,0.22
S09983,0.22
S04117,0.22
S03140,0.22
S08587,0.22
S05254,0.22
S08702,0.22
S06836,0.22
S12074,0.22
S10137,0.22
S10853,0.22
S06376,0.22
S03062,0.22
S04302,0.22
S10827,0.22
S05818,0.22
S05248,0.22
S00014,0.22
S06989,0.22
S04798,0.22
S11521,0.22
S03508,0.22
S03913,0.22
S03109,0.22
S12073,0.22
S09217,0.22
S05062,0.22
S11240,0.22
S04643,0.22
S08696,0.22
S05336,0.22
S09087,0.22
S09394,0.22
S08611,0.22
S06549,0.22
S06011,0.22
S06622,0.22
S02997,0.22
S07277,0.22
S07244,0.22
S06467,0.22
S12094,0.22
S00250,0.22
S05249,0.22
S03972,0.22
S04793,0.22
S05959,0.22
S01186,0.22
S02420,0.22
S08771,0.22
S08774,0.22
S08579,0.22
S01133,0.22
S00795,0.22
S04488,0.22
S01920,0.22
S07324,0.22
S05311,0.22
S04557,0.22
S02519,0.22
S01613,0.22
S08641,0.22
S07055,0.22
S09218,0.22
S02443,0.22
S02099,0.22
S01504,0.22
S10730,0.22
S06483,0.22
S07036,0.22
S04904,0.22
S01791,0.22
S04177,0.22
S06713,0.22
S05863,0.22
S06538,0.22
S09085,0.22
S01519,0.22
S07273,0.22
S08984,0.22
S06554,0.22
S07881,0.22
S08938,0.22
S05846,0.22
S11501,0.22
S04882,0.22
S06151,0.22
S11205,0.22
S05642,0.22
S03058,0.22
S09488,0.22
S02737,0.22
S05630,0.22
S03741,0.22
S05692,0.22
S06390,0.22
S04244,0.22
S08930,0.22
S00759,0.22
S07786,0.22
S05031,0.23
S02697,0.23
S01487,0.23
S07043,0.23
S02041,0.23
S00895,0.23
S08388,0.23
S05575,0.23
S10292,0.23
S11419,0.23
S06650,0.23
S07889,0.23
S09579,0.23
S06982,0.23
S09497,0.23
S01741,0.23
S09692,0.23
S09667,0.23
S12077,0.23
S02911,0.23
S11822,0.23
S02909,0.23
S04522,0.23
S00769,0.23
S00097,0.23
S11568,0.23
S08382,0.23
S00720,0.23
S01899,0.23
S03654,0.23
S04236,0.23
S10681,0.23
S04850,0.23
S05795,0.23
S11976,0.23
S00201,0.23
S10579,0.23
S01949,0.23
S09162,0.23
S00907,0.23
S10120,0.23
S04077,0.23
S00851,0.23
S09211,0.23
S06791,0.23
S09319,0.23
S08213,0.23
S03475,0.23
S06961,0.23
S10890,0.23
S05128,0.23
S02904,0.23
S00398,0.23
S09136,0.23
S06561,0.23
S03759,0.23
S02329,0.23
